Ejercicio,Estado,Patrón,Tipo,Implementación principal,Músculos primarios trabajados,Músculos secundarios trabajados,Plano,Explicación del ejercicio,URL de YouTube
Curl de bíceps con banda,hecho,Jalar,Carga externa,Bandas,"Bíceps Deltoides Abdominales anteriores, Tríceps",", Recto",Sagital,"Las caderas. Para iniciar el movimiento, manteniendo los codos fijados a las costillas, comienza a hinge en el",https://www.youtube.com/watch?v=Jb8-qTipmWA
Sentadilla frontal con peso corporal,hecho,Sentadilla,Carga externa,Bandas,"Cuádriceps, isquiotibiales, cadera Flexores Cábelos","Erector de la columna Sagital colocar por encima la otra de vuelta los hombros, sobre las palmas con los de codos las manos apuntando con los hacia dedos afuera girados (rack hacia",Frontal,"Posición). Mantén la columna recta y la coronilla de la cabeza alta, comienza a descender Presión estricta con peso corporal con banda empieza en una posición de pie haciendo un bucle una parte de la banda debajo de los pies y trayendo la otra parte Presión estricta con peso corporal con banda hecha Empuje Carga externa Banda Deltoides anteriores, Tríceps Recto abdominal Sagital de la banda a las palmas en una posición pronada, a nivel del hombro. Para",https://www.youtube.com/watch?v=CFmwiAzdsQM
Banded Bodyweight Strict Press,hecho,Sentadilla,Carga externa,Bandas,"Cuádriceps, isquiotibiales","cadera Flexores Cábelos, Erector de la columna Sagital colocar por encima la otra de vuelta los hombros, sobre las palmas con los de codos las manos apuntando con los hacia dedos afuera girados (rack hacia frontal atrás, derecha https://www.youtube.com/watch?v=CFmwiAzdsQM posición). Mantén la columna recta y la coronilla de la cabeza alta, comienza a descender Presión estricta con peso corporal con banda empieza en una posición de pie haciendo un bucle una parte de la banda debajo de los pies y trayendo la otra parte Presión estricta con peso corporal con banda hecha Empuje Carga externa Banda Deltoides anteriores, Tríceps Recto abdominal",Sagital,"Mantén esto estricto, asegúrate de que la parte inferior del cuerpo y el tronco permanezcan inmóviles a lo largo del movimiento.",https://www.youtube.com/watch?v=9gBP8Kz4rgQ
Banded Chainsaw Row,hecho,Jalar,Carga externa,Cinta/Banda,Deltoides,Deltoids,Sagital,Bíceps entre los pies y sujetar tanto la banda de resistencia como la,https://www.youtube.com/watch?v=0EFzZ8-FPQ0
Banded Chest Fly,hecho,Empuje,Carga externa,Bandita/Banda,"Pectoral, Deltoides Anteriores Recto Abdominal Transverso a la altura del hombro. Agarra el extremo de una banda en cada mano. Da un paso",Rectus Abdominis,,Hacia adelante un par de pasos para comenzar con algo de resistencia y mantener un posición dividida con ambos talones en el suelo. Comienza con los brazos extendidos hacia adelante,https://www.youtube.com/watch?v=dii63Gtove0
Press de Pecho en Piso con Banda,hecho,Empuje,Carga externa,Banda,Recto Abdominal,Rectus Abdominis,Sagital,"Tríceps del cuerpo, con las palmas por encima del codo. Para iniciar el movimiento, golpea los nudillos rectos hacia el techo. Luego, lentamente El Corte de Alto a Bajo con Banda requiere una banda atada a una barra vertical o estante que está anclado al suelo, con la banda atada un poco más arriba que la altura del hombro. Comienza de pie con las manos entrelazadas Corte de Alto a Bajo con Banda",https://www.youtube.com/watch?v=kU5wXRcohsQ
El Corte de Alto a Bajo con Banda requiere una banda atada a una barra vertical o,hecho,Núcleo,Carga externa,Banda,"Transverso Abdominal, Oblicuos Recto Abdominal Transverso",,,"AtGX30 al final de la banda, de pie de forma perpendicular al ancla punto, y dando un paso ligeramente hacia fuera para comenzar con un poco de resistencia.",https://www.youtube.com/watch?v=ZmbI
Curl Invertido a Presión,hecho,Núcleo,Carga externa,Band,Tríceps,Triceps,Sagital,"Deltoides anteriores contrae el core. Para iniciar el movimiento, flexiona las manos con banda hacia arriba hacia los hombros, bri El Peso Muerto con banda se configura pasando cada extremo de una banda por encima de un peso cargado barra en el suelo, con los bucles un poco más separados que el ancho de los hombros- ancho (justo fuera de donde irán las manos). El holgura libre de Peso Muerto con Banda",https://www.youtube.com/watch?v=eA2y6jLtCSE
Banded Deadlift,hecho,Doblar,Carga externa,Barrra,"Isquiotibiales, Erector de la columna, Glúteos","Cuádriceps, Latissimus Dorsi",Sagital,"Banda pasará debajo de los pies, con los pies a una anchura de cadera aproximadamente separados. Comienza con la barra con banda alineada sobre las puntas de los pies.",https://www.youtube.com/watch?v=SuioXcSXU40
Dislocación con Banda,hecho,Jalar,Carga externa,Band,"Deltoides anteriores, Trapecio Tríceps,",Bíceps,Sagital,"Mayor parte rectos a lo largo, comienza a jalar la banda hacia adelante, fuera de frente del pecho, por encima de la h La Press de Banca con Mancuernas con Banda requiere colocar una banda entre el banco y la parte superior de la espalda, con los extremos de la banda anudando Pectoral, Deltoides anterior, alrededor de ambas agarraderas de las mancuernas. Agarra ambas asas y la banda en Press de banca con mancuerna y banda",https://www.youtube.com/watch?v=ddGqVY8mdKE
La Press de Banca con Mancuernas con Banda requiere colocar una banda entre,hecho,Empujar,Carga externa,Mancuerna,Serrato anterior,Serratus Anterior,Sagital,"Tríceps el asa para seguridad. Comienza con los codos flexionados y las pesas próximas sobre el pecho. Para iniciar el movimiento, eleva las pesas por encima del pecho",https://www.youtube.com/watch?v=GsMDLcWI7GY
Banded Dumbbell Fly,hecho,Empujar,Carga externa,Mancuerna,"Pectoral, Deltoides anteriores Serrato anterior Transverso",Serratus Anterior,,"Con las palmas sobre la parte superior de la banda. Comienza con los brazos extendiéndose hacia los lados a la altura de los hombros, con un ligero flexión de los codos",https://www.youtube.com/watch?v=JTJwX0tI1MA
Banded Face Pull Apart,hecho,Jalar,Carga externa,Banda,Deltoides Mediales,Medial Deltoids,Sagital,"Trapecio brazos y banda a la altura de la cabeza, con los brazos mayormente extendidos.",https://www.youtube.com/watch?v=QQiqvpvVkeI
Face Pull con banda a Y,hecho,Jalar,Carga externa,Banda,"Trapecio, Deltoides Mediales","Trapezius, Medial Deltoids",Transversal,"Deltoides anteriores a la altura del hombro, da unos pasos hacia atrás para comenzar con una ligera tensión. Similar a un face pull normal, comenzarás el movimiento tirando de la codo El deslizamiento de rodillo de espuma con banda requiere una theraband, rodillo de espuma y pared. Coloca la theraband en el dorso de las manos o muñecas y mantén Deltoides anteriores, Deltoides mediales, tensión isométrica constante moviéndose lateralmente. Lleva los codos hacia arriba hasta Deslizamiento de rodillo de espuma con banda",https://www.youtube.com/watch?v=v9B1kWFSIc0
Banded Foam Roller Wall Slide,hecho,Empujar,Carga externa,Rodillo de espuma,Tríceps,Triceps,Sagital,"Serrato a la altura del hombro, con las muñecas alineadas sobre los codos, y coloca un",https://www.youtube.com/watch?v=S6-pZonbMfA
Rana con banda,hecho,Flexión,Carga externa,Banda,Recto abdominal,Rectus Abdominis,Sagital,"Abductores, Ingle barras. Para colocarte en la posición inicial, junta las plantas de los pies",https://www.youtube.com/watch?v=Z2U4zwF9j0g
Para Frog Pump con banda,hecho,Flexión,Carga externa,Banda,Recto abdominal,Rectus Abdominis,Sagital,"Ingle, Flexores de cadera inicia el movimiento, aprieta los glúteos y eleva las caderas del suelo, manteniendo la tensión en la banda moviéndose lateralmente. Luego, con control, El golpe oblicuo en GHD con banda comienza sentado sobre el acolchado del GHD y deslizando los pies hacia el punto de anclaje, con las puntas de los dedos apuntando hacia arriba. Envuelve Oblicuos, Recto Abdominal, Puno oblicuo con banda GHD",https://www.youtube.com/watch?v=qhOoaW8ynKA
Puno oblicuo con banda GHD,hecho,Núcleo,Carga externa,GHD,"Pectoral, Deltoides anterior",,Sagital,"Dnohg Tríceps mano, haciendo puños sobre la banda.",https://www.youtube.com/watch?v=I
Empuje de cadera con banda re-film (,re-film,Doblar,Carga externa,Bandas,"Glúteos, Isquiotibiales Cuádriceps, Flexores de cader",a Sagital las anuda caderas los alineadas dos extremos con las de barras la banda y una banda bajo las colocada barras sobre verticales la parte y,Frontal,"Hacia afuera lateralmente, a nivel de los hombros, con las palmas hacia abajo para la estabilidad. Para",https://www.youtube.com/watch?v=z8z0biVVaQY
Marcha de Glúteo con banda,hecho,Una pierna,Carga externa,Bandas,"Glúteos, Erector Isquiotibiales, espinal Flexores de cadera, Gemelos",Calves,Sagital,Estés puenteado. Mantén los pies a aproximadamente la anchura de las caderas. Comienza levantando una rodilla,https://www.youtube.com/watch?v=DmAnlts-XBw
Sentadilla Goblet con banda,hecho,Sentadilla,Carga externa,Pesa rusa,"Cuádriceps, Glúteos, Flexores de cadera Recto Abdominis, Erectore",s Espinales,Sagital,Pesa rusa en el pecho y la parte libre de la banda debajo de la pies.,https://www.youtube.com/watch?v=9mklrUcruWk
Pase una punta de la banda detrás del cuello y la Buen Día con banda,hecho,Doblar,Carga externa,Bandas,"Isquiotibiales, Erectores Espinales, Glúteos","Cuádriceps, Latísimo Dorsi",Sagital,"Debajo de los pies. Agarra la banda como si sujetaras correas de una mochila, con los codos doblados. Mantén el pecho alto, columna neutral y sho",https://www.youtube.com/watch?v=SwH5jSojKoo
Hammer Curl to Press,hecho,Núcleo,Carga externa,Banda,"Recto Deltoides Abdominis, anteriores Bíceps, Tríceps pies y el otro lazo sujeto con las manos",con las palmas mirando,Sagital,"Core. Para iniciar el movimiento, flexiona las manos con banda hacia los hombros, manteniendo las palmas enfrentadas, luego, empuja El . Remo Alto con Banda se prepara atando primero una banda alrededor de una barra de dominadas. Remo alto con banda",https://www.youtube.com/watch?v=UjGhQDCFuWo
Remo alto con banda,hecho,Jalar,Carga externa,Banda,"Dorsal Deltoides ancho, bíceps, posterior Erectores espinales Para adoptar la posición inicial","siéntate en el suelo, manteniendo las",Sagital,"Cada mano en posición neutral con las palmas enfrentadas,",https://www.youtube.com/watch?v=y-hpKo2PefI
Rotación externa de cadera con banda,hecho,Una pierna,Estabilidad,Banda,"Psoas, flexores de cadera, ingle Abductores",Abductors,Transversal,"Pierna trasera está atada con la banda a la altura del muslo, donde la otra parte de la banda está sujeta a una barra anclada lo suficientemente lejos para que haya tensión en la banda",https://www.youtube.com/watch?v=uUhVJPJijoM
Flexión de cadera con banda,hecho,Una pierna,Estabilidad,Banda,"Flexores de cadera, psoas, cuádriceps Erectores espinales",Spinal Erectors,Sagital,Elevar una rodilla hacia arriba y adelante para que la pierna esté en un ángulo de 90-90 en la cadera,https://www.youtube.com/watch?v=-YA5TloO4Yo
Hip thrust con banda y hombros elevados,hecho,Flexión,Carga externa,Banda,"Glúteos, isquiotibiales Recto abdominal",Rectus Abdominis,Sagital,"Dos barras verticales. Con las caderas alineadas con las barras y una banda colocada sobre la parte frontal de las caderas, mira El Press de Banca Inclinado con Banda requiere un soporte para barra, una barra y dos bandas. Coloca una banda de resistencia en la base del soporte de barra Press de banca inclinado con banda",https://www.youtube.com/watch?v=SzsUB9r6504
Banded Incline Bench Press,hecho,Empuje,Carga externa,Barra,"Pectorales, Tríceps deltoides anteriores, Recto Anterior abdominal,",serrato,Sagital,Saca el peso con los brazos extendidos sobre la parte superior del pecho. WEl Press de Banca Inclinado con Mancuernas y Banda requiere un banco inclinado (aproximadamente Press de Banca Inclinado con Mancuernas y Banda,https://www.youtube.com/watch?v=38L89ItaFM8
Press de Banca Inclinado con Mancuernas y Banda,hecho,Empuje,Carga externa,Mancuerna,"Pectoral, Tríceps Deltoides Anteriores, Recto Anterior Abdominal,",Serrato,Sagital,"Sujeta tanto el mango como la banda en el mango para mayor seguridad. Comienza con los codos doblados y las pesas cerca de la parte superior de la caja torácica justo debajo de El Jalón de Espalda con Banda se prepara primero atando dos bandas alrededor de una barra de dominadas, más anchas que el ancho de los hombros, y pasando un tubo de PVC Jalón de Espalda con Banda",https://www.youtube.com/watch?v=76yCAzqjwps
PVC Jalón de Espalda con Banda,hecho,Jalar,Carga externa,Banda,"Dorsal Ancho, Bíceps Erectores Espinales",Erector Spinae,Sagital,"Comienza sentado en el suelo, ligeramente detrás de la barra de dominadas, con",https://www.youtube.com/watch?v=EYg2AdanBCw
Estiramiento de Espalda con Banda,hecho,Flexión,Estabilidad,Banda,"Dorsal Ancho, Deltoides Anteriores",Erectores Espinales,Sagital,"Pie, con los pies separados al ancho de las caderas, comienza a flexionar desde la cadera, manteniendo la columna recta, hasta que la parte superior del cuerpo esté paralela al suelo y la b La Flexión Lateral con Banda requiere una barra vertical y una banda. Pasa la banda alrededor de la barra a la altura del tobillo y toma el extremo libre de la banda Flexión Lateral con Banda",https://www.youtube.com/watch?v=Pmp4dJTRoEU
Desde,hecho,Flexión,Carga externa,Banda,"Oblicuo, Recto Abdominal Serrato",Serratus,Frontal,Paso lateral suficiente para comenzar con tensión en la banda. Lleva tu mano libre detrás de la cabeza.,https://www.youtube.com/watch?v=QW3z7WCCeD8
Pasa Step Up Lateral con Banda,hecho,Una pierna,Carga externa,Banda,"Cuádriceps, Oblicuos Recto Abdominal, Transverso Abdominal",Transverse Abdominis,Frontal,"Barra. Da un paso lateral lejos de la barra para empezar con algo de tensión. El Ejercicio Estado Patrón Tipo Implementación principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube La , extensión de piernas con banda requiere una banda pasada alrededor de una barra vertical, cerca de la parte inferior de la barra, o a nivel del tobillo. Coloca un banco",https://www.youtube.com/watch?v=UHz8azpZg3Y
Extensión de piernas con banda,hecho,Empujar,Carga externa,Bandas,"Cuádriceps, tibial anterior Isquiotibiales",Hamstrings,Sagital,Parte inferior de las espinillas. Asegúrate de estar lo suficientemente lejos de la barra,https://www.youtube.com/watch?v=gUZshzSamkY
Banded March,hecho,Una pierna,Carga externa,Banda,"Glúteos, Psoas Isquiotibiales, Flexores de cadera, Recto abdominal barras verticales","una barra frente al pecho y otra detrás de la espalda,",Sagital,Extremo superior suelto y átalo al cinturón de pesas. Para ayudar a mantener la columna,https://www.youtube.com/watch?v=T9tDwmfL0pA
Giro oblicuo con banda,hecho,Núcleo,Carga externa,Banda,"Oblicuos Abdominales externos, Transverso Recto abdominal barra vertical a aproximadamente la parte inferior de la altura del pecho. Entrecruza los Transverso manos sobre la banda",y aléjate lo suficiente de la barra para comenzar,,Con tensión. Con los pies colocados un poco más separados que la altura de las caderas,https://www.youtube.com/watch?v=J6Ah54RiCh8
Con los pies colocados un poco más separados que la altura de las caderas,hecho,Núcleo,Carga externa,Banda,"Oblicuos, Recto abdominal, Abductores Transverso del abdomen",,Frontal,Extendidos y las manos frente al pecho durante toda la movimiento. Mantén,https://www.youtube.com/watch?v=gTTilQOc5
Banded Plank,hecho,Núcleo,Carga externa,Banda,"Recto Abdominales abdominal, Transverso Oblicuos Oblicuos internos,",Externos,Sagital,Enrollada debajo de las palmas y alrededor de la espalda.,https://www.youtube.com/watch?v=6ibWr3Z6Ayo
Banded Plank Row,hecho,Jalar,Carga externa,Banda,"Dorsal ancho, Recto Abdominal, Serrato Oblicuos",Obliques,Sagital,Alcanza un extremo libre de la banda y extiende el brazo todo lo posible,https://www.youtube.com/watch?v=cN1p-MGgdzE
Rotación interna de cadera en prono con banda,hecho,Jalar,Carga externa,Banda,"Flexores Isquiotibiales de cadera, ingle, cuádriceps, Pantorrillas",,Frontal,"KqRpC7g Luego, con control, lleva los bordes internos de los pies de vuelta uno hacia el otro. otro",https://www.youtube.com/watch?v=6nS
Flexión de hombro en prono con banda,hecho,Jalar,Carga externa,Banda,"Deltoides, Trapecio romboides, parte superior Dorsal ancho,",escápulas,Sagital,Suelo y presiona tus caderas contra el suelo. Sujeta la barra con las manos un poco más separadas que el ancho de los hombros y lleva la barra a la posición inicial,https://www.youtube.com/watch?v=fqYx9UjwhyY
